Observacion ; prestacion ; encontro ; total ; % score
vehículo mal estacionado lugar reservado obleo discapacidad;taxi tarifa mal cobrado;1;4;25
vehículo mal estacionado lugar reservado obleo discapacidad;faltar rampa acceso persona discapacidad motriz establecimiento comercial;1;8;12
vehículo mal estacionado lugar reservado obleo discapacidad;intoxicaciónfermedad alimento bebida mal;1;4;25
vehículo mal estacionado lugar reservado obleo discapacidad;irregularidad uso certificado discapacidad estacionamiento;1;5;20
vehículo mal estacionado lugar reservado obleo discapacidad;faltar rampa acceso persona discapacidad motriz local comercial;1;8;12
vehículo mal estacionado lugar reservado obleo discapacidad;buzón eléctrico mal abandonado;1;4;25
vehículo mal estacionado lugar reservado obleo discapacidad;vehículo obstruir garaje;1;3;33
vehículo estacionado lugar reservado obleo discapacidad;vehículo mal estacionado;2;3;67
vehículo estacionado lugar reservado obleo discapacidad;remoción vehículo abandonado;1;3;33
vehículo estacionado lugar reservado obleo discapacidad;irregularidad reserva espacio estacionamiento vehículo persona discapacidad;2;7;29
vehículo estacionado lugar reservado obleo discapacidad;faltar rampa acceso persona discapacidad motriz establecimiento comercial;1;8;12
vehículo estacionado lugar reservado obleo discapacidad;irregularidad uso certificado discapacidad estacionamiento;1;5;20
vehículo estacionado lugar reservado obleo discapacidad;faltar rampa acceso persona discapacidad motriz local comercial;1;8;12
vehículo estacionado lugar reservado obleo discapacidad;vehículo obstruir garaje;1;3;33
vehículo estacionado lugar reservado obleo discapacidad;vehículo mal estacionado;2;3;67
vehículo estacionado lugar reservado obleo discapacidad;remoción vehículo abandonado;1;3;33
vehículo estacionado lugar reservado obleo discapacidad;irregularidad reserva espacio estacionamiento vehículo persona discapacidad;2;7;29
vehículo estacionado lugar reservado obleo discapacidad;faltar rampa acceso persona discapacidad motriz establecimiento comercial;1;8;12
vehículo estacionado lugar reservado obleo discapacidad;irregularidad uso certificado discapacidad estacionamiento;1;5;20
vehículo estacionado lugar reservado obleo discapacidad;faltar rampa acceso persona discapacidad motriz local comercial;1;8;12
vehículo estacionado lugar reservado obleo discapacidad;vehículo obstruir garaje;1;3;33
auto mal estacionado lugar reservado obleo discapacidad;vehículo mal estacionado;2;3;67
auto mal estacionado lugar reservado obleo discapacidad;reparación veredo obra mal terminado;1;5;20
auto mal estacionado lugar reservado obleo discapacidad;remoción volquete abandonado mal dispuesto;1;5;20
auto mal estacionado lugar reservado obleo discapacidad;irregularidad reserva espacio estacionamiento vehículo persona discapacidad;1;7;14
auto mal estacionado lugar reservado obleo discapacidad;columna/poste/cable mal abandonado cortado;1;4;25
auto mal estacionado lugar reservado obleo discapacidad;refugio transporte mal abandonado;1;4;25
auto mal estacionado lugar reservado obleo discapacidad;taxi tarifa mal cobrado;1;4;25
auto mal estacionado lugar reservado obleo discapacidad;faltar rampa acceso persona discapacidad motriz establecimiento comercial;1;8;12
auto mal estacionado lugar reservado obleo discapacidad;intoxicaciónfermedad alimento bebida mal;1;4;25
auto mal estacionado lugar reservado obleo discapacidad;irregularidad uso certificado discapacidad estacionamiento;1;5;20
auto mal estacionado lugar reservado obleo discapacidad;faltar rampa acceso persona discapacidad motriz local comercial;1;8;12
auto mal estacionado lugar reservado obleo discapacidad;buzón eléctrico mal abandonado;1;4;25
dejar auto día mal estacionado lugar reservado obleo discapacidad;vehículo mal estacionado;2;3;67
dejar auto día mal estacionado lugar reservado obleo discapacidad;reparación veredo obra mal terminado;1;5;20
dejar auto día mal estacionado lugar reservado obleo discapacidad;reparación luminario encendido día;1;4;25
dejar auto día mal estacionado lugar reservado obleo discapacidad;remoción volquete abandonado mal dispuesto;1;5;20
dejar auto día mal estacionado lugar reservado obleo discapacidad;irregularidad reserva espacio estacionamiento vehículo persona discapacidad;1;7;14
dejar auto día mal estacionado lugar reservado obleo discapacidad;columna/poste/cable mal abandonado cortado;1;4;25
dejar auto día mal estacionado lugar reservado obleo discapacidad;refugio transporte mal abandonado;1;4;25
dejar auto día mal estacionado lugar reservado obleo discapacidad;taxi tarifa mal cobrado;1;4;25
dejar auto día mal estacionado lugar reservado obleo discapacidad;faltar rampa acceso persona discapacidad motriz establecimiento comercial;1;8;12
dejar auto día mal estacionado lugar reservado obleo discapacidad;intoxicaciónfermedad alimento bebida mal;1;4;25
dejar auto día mal estacionado lugar reservado obleo discapacidad;irregularidad uso certificado discapacidad estacionamiento;1;5;20
dejar auto día mal estacionado lugar reservado obleo discapacidad;faltar rampa acceso persona discapacidad motriz local comercial;1;8;12
dejar auto día mal estacionado lugar reservado obleo discapacidad;buzón eléctrico mal abandonado;1;4;25
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;plantación árbol;1;2;50
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;cerramiento patio balcón permiso;1;4;25
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;extracción árbol;1;2;50
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;faltar recolección resto poder arbolado público;1;6;17
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;árbol enfermedad;1;2;50
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;reparación/nivelación tapa empresa servicio público vereda;1;6;17
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;Construcción permiso cartel reglamentario código QR;1;6;17
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;reparación veredo raíz árbol producir rotura;1;6;17
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;resto obra vereda impedir paso;2;5;40
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;vereda sucio mascota;1;3;33
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;uso indebido agua limpiar vereda;2;5;40
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;garita seguridad abandonado u obstruir vereda;1;6;17
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;obstrucción calle vereda elemento fijo móvil;1;6;17
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;recital show vivo actividad baile permiso;1;6;17
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;reparación/reposición tapa empresa servicio público vereda;1;6;17
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;vereda roto alumbrado público;1;4;25
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;Nivelación tapa empresa servicio público vereda;1;6;17
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;uso aparato poder contener PCB;1;5;20
poda arbol;poda árbol/despeje luminario semáforo;1;4;25
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;reparación luminario apagado noche;2;4;50
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;poda árbol/despeje luminario semáforo;1;4;25
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;reparación luminario artefacto roto;1;4;25
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;reparación/nivelación tapa empresa servicio público vereda;2;6;33
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;resto obra vereda impedir paso;1;5;20
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;reparación luminario encendido día;1;4;25
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;vereda sucio mascota;1;3;33
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;reparación tapa faltante deteriorado columna alumbrado;1;6;17
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;uso indebido agua limpiar vereda;1;5;20
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;donación bien hogar desuso;1;4;25
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;garita seguridad abandonado u obstruir vereda;1;6;17
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;obstrucción calle vereda elemento fijo móvil;1;6;17
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;reparación/reposición tapa empresa servicio público vereda;2;6;33
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;vereda roto alumbrado público;1;4;25
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;reparación/nivelación tapa empresa servicio público calle;1;6;17
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;reparación/reposición tapa empresa servicio público calle;1;6;17
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;Nivelación tapa empresa servicio público vereda;2;6;33
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;cruce peligroso calle inconveniente vial;1;5;20
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;ruido molesto vibración;1;3;33
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;retiro resto jardinería domiciliario;1;4;25
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;retiro residuo voluminoso mueble electrodoméstico;1;5;20
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;retiro escombro resto obra;2;4;50
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente trámite;1;2;50
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente estacionamiento bicicleta garaje;1;4;25
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente plataforma Gestión Colaborativa;1;4;25
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente retiro/devolución bicicleta BA Ecobici Tembici;1;6;17
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente sistema turno;1;3;33
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;retiro objeto desuso;1;3;33
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente instalación incendio establecimiento educativo estatal;1;6;17
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente horario apertura cierre parque/plaza;1;5;20
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;retiro animal muerto vía público;1;5;20
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente turno Centro Salud u Hospital Público;1;7;14
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente sistema inscripción defunción Carga Hospitales;1;6;17
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente Hospital Público;1;3;33
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente atención Centro Salud u Hospital Público;1;7;14
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;retiro Afiches y/o pasacalles;1;4;25
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;ajuste chapa metálico ruido molesto calle;1;6;17
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente Centro Salud Nivel 1;1;5;20
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente red electricidad;1;3;33
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente personal SUBTE;1;3;33
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente tarea guardián plaza;1;4;25
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente servicio centro atención pasajero centro subtepo SUBTE;1;8;12
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente mascota subte;1;3;33
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;solicitud derivado;1;2;50
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente registro usuario BA Ecobici Tembici;1;6;17
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente suministro agua;1;3;33
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente integrante Policía Ciudad;1;4;25
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;uso indebido plástico bolsa reutilizable sorbete;1;6;17
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente ocasionado obra subte zona obelisco;1;6;17
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente ciberseguridad y/o seguridad digital;1;5;20
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;inconveniente entidad regulado lotba S.E;1;5;20
vecino solicitar retiro mueble pallet madera;retiro resto jardinería domiciliario;1;4;25
vecino solicitar retiro mueble pallet madera;retiro residuo voluminoso mueble electrodoméstico;2;5;40
vecino solicitar retiro mueble pallet madera;retiro escombro resto obra;1;4;25
vecino solicitar retiro mueble pallet madera;retiro objeto desuso;1;3;33
vecino solicitar retiro mueble pallet madera;retiro animal muerto vía público;1;5;20
vecino solicitar retiro mueble pallet madera;retiro Afiches y/o pasacalles;1;4;25
rama producto poda;poda árbol/despeje luminario semáforo;1;4;25
rama producto poda;irregularidad venta almacenamiento pirotecnio producto inflamable;1;6;17
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;cruce peligroso calle inconveniente vial;1;5;20
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;ruido molesto vibración;1;3;33
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;consulta técnico tramite inscripción registro actividad catalogado potencialmente contaminante ruido vibración RAC;1;12;8
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;obra construcción protección falta seguridad edificio lindero y/o vía público;1;10;10
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente trámite;1;2;50
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente estacionamiento bicicleta garaje;1;4;25
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente plataforma Gestión Colaborativa;1;4;25
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente retiro/devolución bicicleta BA Ecobici Tembici;1;6;17
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente sistema turno;1;3;33
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente instalación incendio establecimiento educativo estatal;1;6;17
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente horario apertura cierre parque/plaza;1;5;20
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente turno Centro Salud u Hospital Público;1;7;14
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente sistema inscripción defunción Carga Hospitales;1;6;17
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente Hospital Público;1;3;33
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente atención Centro Salud u Hospital Público;1;7;14
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente Centro Salud Nivel 1;1;5;20
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente red electricidad;1;3;33
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente personal SUBTE;1;3;33
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente tarea guardián plaza;1;4;25
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente servicio centro atención pasajero centro subtepo SUBTE;1;8;12
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente mascota subte;1;3;33
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente registro usuario BA Ecobici Tembici;1;6;17
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente suministro agua;1;3;33
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente integrante Policía Ciudad;1;4;25
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente ocasionado obra subte zona obelisco;1;6;17
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente ciberseguridad y/o seguridad digital;1;5;20
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;inconveniente entidad regulado lotba S.E;1;5;20
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación luminario apagado noche;1;4;25
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación veredo;1;2;50
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;cruce peligroso calle inconveniente vial;1;5;20
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;retiro escombro resto obra;1;4;25
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación semáforo;1;2;50
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;obra construcción protección falta seguridad edificio lindero y/o vía público;1;10;10
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;Mayor iluminación calle plaza;1;4;25
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación contenedor;1;2;50
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación luminario artefacto roto;1;4;25
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación señal tránsito;1;3;33
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación sumidero/alcantarilla boca registro pluvial roto;1;6;17
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación bache calle;2;3;67
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación bicisendo;1;2;50
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;repintado reparación marca vial calle cordón;2;6;33
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación veredo raíz árbol producir rotura;1;6;17
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación veredo obra mal terminado;1;5;20
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;irregularidad mantenimiento seguridad instalación establecimiento comercial;1;6;17
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación reja esquina;1;3;33
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación luminario encendido día;1;4;25
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación tomar energía alumbrado público;1;5;20
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;asfaltado calle adoquin;1;3;33
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;irregularidad reserva espacio estacionamiento vehículo persona discapacidad;1;7;14
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación construcción cordón;1;3;33
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;irregularidad mantenimiento seguridad ascensor escalera mecánico montacarga establecimiento comercial;1;9;11
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación Campana Verde;1;3;33
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación cesto papelero;1;3;33
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;irregularidad mantenimiento seguridad instalación establecimiento comercial;1;6;17
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación tapa faltante deteriorado columna alumbrado;1;6;17
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;reparación rampo accesibilidad;1;3;33
