Observa_lematizada ; Observa_Orig ; Presta_Lematizada;Presta_Orig
finalizar;Finalizar;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00229429/23
semáforo Roosevelt permanentemente rojo altolaguirre apagado ayer lunes 3 abril 2023 auto esperar luego 5 minuto continuar marcha precaucion tener cuenta cámara zona;El semáforo desde Roosevelt está permanentemente en rojo y desde altolaguirre apagado. Ayer lunes 3 de abril de 2023. Los autos esperaban y luego de 5 minutos continuaban la marcha con precaucion. Hay que tener en cuenta que hay cámaras en esa zona.;reparación semáforo;Reparación de semáforo;00265499/23
vecina solicitar fumigación plaza aledaño dirección además solicitar fumigación general barrio reportar caso dengue;Vecina solicita fumigación en las plazas aledañas a la dirección. Además solicita una fumigación general en el barrio ya que se reportaron muchos casos de dengue;criadero mosquito;Criaderos de mosquitos;00339984/23
vehiculo estacionado bloquear totalmente acceso garage;Vehiculo estacionado bloquea totalmente el acceso a mi garage;vehículo mal estacionado;Vehículo mal estacionado;00071576/23
vehiculo estacionado garaje bloque totalmente acceso garaje Dominio infractor a eD 606 IR;Un vehiculo esta estacionado en mi garaje y bloque totalmente mi acceso a mi garaje. Dominio del infractor AD 606 IR;vehículo mal estacionado;Vehículo mal estacionado;00134027/23
corto enredadera casa;Corta de enredadera de la casa;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00048538/23
vecina solicitar hacer 3 día retiro residuo verde poda domiciliario respuesta parte higiene urbano día hoy contar 5 bolsa encontrar vereda;Vecina solicito hace 3 días el retiro de residuos verdes de una poda domiciliaria. No hay respuestas por parte de higiene urbana. Al día de hoy ya cuenta con 5 bolsas que ya se encuentran en la vereda.;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00051678/23
vereda mal hecho reventar todo hacia arriba peligro gente tropecir lastime;Vereda mal hecha, se está reventando toda hacia arriba. Es un peligro que la gente se tropiece y se lastime;reparación veredo;Reparación de vereda;00096568/23
vehículo mal estacionado ochava tapar dos rampa discapacitado;Hay un vehículo mal estacionado en la ochava tapando dos rampas de discapacitados.;vehículo mal estacionado;Vehículo mal estacionado;00139982/23
obstaculizar dos bajada silla rueda estacionado ochava amarillo cordón;Está obstaculizando dos bajadas de sillas de ruedas, estacionado en la ochava y donde esta amarillo el cordón.;vehículo mal estacionado;Vehículo mal estacionado;00139317/23
Buenos días poder retirar escombro dejar vecino enfrente edificio favor;Buenos días.  Podrían retirar los escombros que dejo un vecino de enfrente de mi edificio? Por favor;retiro escombro resto obra;Retiro de escombros / restos de obra;00179888/23
hacer 5 año local avenida Rivadavia 4405 sucio desordenado olor hongo favor poder pedir él dueño inquilino limpiar malo salud empleado cliente;Desde hace 5 años que el local de la avenida Rivadavia 4405 esta sucio, desordenado y con olor a hongos. Por favor. Podrían pedirle a los dueños o inquilinos que lo limpien? Es malo para la salud de los empleados y clientes.;higiene deficiente establecimiento venta elaboración alimento;Higiene deficiente en establecimiento sin venta o elaboración de alimentos;00163988/23
Hola vecino cuadra dejar escombro vereda cercano casa poder retirar él favor;Hola. Un vecino de mi cuadra dejo escombros en la vereda cercana a mi casa. Podrían retirarlos? Por favor;retiro escombro resto obra;Retiro de escombros / restos de obra;00203038/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00210444/23
Hola edificio cercano mio dejar escombro nuevo vereda Podrian retirar el favor;Hola. En un edificio cercano al mio dejaron escombros de nuevo en la vereda.  Podrian retirarlos? Por favor;retiro escombro resto obra;Retiro de escombros / restos de obra;00254705/23
buen noche árbol veredo edificio inclinado hacia calle parecer caer poder extraer él plantar árbol nuevo favor;Buenas noches. El árbol de la vereda de mi edificio esta muy inclinado hacia a la calle parece que se fuera a caer. Podrían extraerlo y plantar un árbol nuevo? Por favor.;extracción árbol;Extracción de árbol;00264184/23
buen noche árbol veredo edificio inclinado hacia calle parecer caer poder podar él extraer él plantar árbol nuevo favor;Buenas noches. El árbol de la vereda de mi edificio esta muy inclinado hacia a la calle parece que se fuera a caer. Podrían podarlo, o extraerlo y plantar un árbol nuevo? Por favor.;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00264159/23
buen noche hacer varios mes vereda casa oscuro dar miedo salir noche deber haber romper alguno luminaria poder arreglar él favor;Buenas noches. Desde hace varios meses que la vereda de mi casa esta muy oscura. Me da miedo salir de noche. Se debe haber roto alguna luminaria. Podrían arreglarlo? Por favor.;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00264182/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00308974/23
finalizar;Finalizar;retiro escombro resto obra;Retiro de escombros / restos de obra;00119676/23
vehiculo mal estacionado lugar reservado discapacitado;vehiculo mal estacionado en lugar reservado para discapacitado;vehículo mal estacionado;Vehículo mal estacionado;00164715/23
vehiculo estacionado lugar reservado discapacitado;vehiculo estacionado en lugar reservado para discapacitado;vehículo mal estacionado;Vehículo mal estacionado;00164490/23
vehículo estacionado doble fila dejar salir auto estacionado;vehículo estacionado en doble fila no deja salir autos estacionados;vehículo mal estacionado;Vehículo mal estacionado;00164510/23
vehículo estacionado lugar reservado auto obleo discapacidad;vehículo estacionado en lugar  reservado para auto con oblea de discapacidad;vehículo mal estacionado;Vehículo mal estacionado;00239983/23
auto mal estacionado lugar reservado obleo discapacidad;auto mal estacionado sobre lugar reservado para oblea de discapacidad;vehículo mal estacionado;Vehículo mal estacionado;00270381/23
auto día mal estacionado lugar auto obleo discapacidad;auto todo el día mal estacionado sobre lugar para auto con oblea de discapacidad;vehículo mal estacionado;Vehículo mal estacionado;00270370/23
vehículo mal estacionado lugar obleo discapacidad bloquear salida estacionamiento edificio;hay un vehículo mal estacionado sobre lugar de oblea de discapacidad y bloqueando salida de estacionamiento de edificio;vehículo mal estacionado;Vehículo mal estacionado;00276854/23
vehículo mal estacionado lugar obleo discapacidad bloquear salida estacionamiento edificio;hay un vehículo mal estacionado sobre lugar de oblea de discapacidad y bloqueando salida de estacionamiento de edificio;vehículo mal estacionado;Vehículo mal estacionado;00276871/23
vehículo mal estacionado lugar reservado obleo discapacidad;vehículo mal estacionado sobre lugar reservado con oblea de discapacidad;vehículo mal estacionado;Vehículo mal estacionado;00271627/23
auto mal estacionado lugar obleo discapacidad;auto mal estacionado sobre lugar para oblea de discapacidad;vehículo mal estacionado;Vehículo mal estacionado;00324675/23
vehículo mal estacionado ocupar mitad lugar reservado discapacidad;hay un vehículo mal estacionado, que ocupa la mitad del lugar reservado para discapacidad;vehículo mal estacionado;Vehículo mal estacionado;00334753/23
vehículo mal estacionado lugar reservado auto obleo discapacidad;hay un vehículo mal estacionado sobre lugar reservado de auto con oblea de discapacidad;vehículo mal estacionado;Vehículo mal estacionado;00311767/23
vehículo mal estacionado lugar reservado auto obleo discapacidad;hay un vehículo mal estacionado sobre lugar reservado de auto con oblea de discapacidad;vehículo mal estacionado;Vehículo mal estacionado;00311790/23
vehículo mal estacionado lugar reservado obleo discapacidad;hay un vehículo mal estacionado sobre lugar reservado para oblea de discapacidad;vehículo mal estacionado;Vehículo mal estacionado;00327695/23
vehículo estacionado lugar reservado obleo discapacidad;vehículo  más estacionado sobre lugar reservado para oblea de discapacidad;vehículo mal estacionado;Vehículo mal estacionado;00306007/23
vehículo estacionado lugar reservado obleo discapacidad;vehículo más estacionado en lugar reservado para oblea de discapacidad;vehículo mal estacionado;Vehículo mal estacionado;00312378/23
auto mal estacionado lugar reservado obleo discapacidad;auto mal estacionado sobre lugar reservado para oblea de discapacidad;vehículo mal estacionado;Vehículo mal estacionado;00324666/23
dejar auto día mal estacionado lugar reservado obleo discapacidad;dejan auto todo el día mal estacionado sobre lugar reservado para oblea discapacidad;vehículo mal estacionado;Vehículo mal estacionado;00337145/23
vereda repleto rama árbol vereda mandar podar saber quién hacer suponer prohibido podar salvo permiso municipal pedir favor si poder retirar rama impedir limpiar el Gracias;La vereda está repleta de ramas del árbol que tenemos en la vereda que no mandamos a podar, no sabemos quién lo hizo. Suponemos que está prohibido podar salvo con permiso municipal. Pido por favor si pueden retirar las ramas que impiden limpiarla. Gracias;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00305808/23
poda arbol;Poda de arbol;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00328665/23
solicitar despeje luminario situacion vivir necesitar noche transitar luz arbol cuestion tapa luminario dejar alumbrar bien vereda gracias;solicito despeje de luminaria ya que  por la situacion que estamos viviendo necesitamos  por la noche transitar con luz. el arbol en cuestion tapa la luminaria y no deja alumbrar bien las veredas. gracias;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00204140/23
solicitar retiro 13 bolsa escombro venir reclamar hacer varios semana marido generar solicitud marcar cumplido ser así molesto vecino cuadra traer inconveniente aguardar respuesta mas urgente posible;Solicita el retiro de 13 bolsas de escombro el cual viene reclamando hace varias semanas, su marido genera la solicitud y se la marcan como cumplido siendo que no es así, esto molesto a los vecinos de esa cuadra y esta trayendo muchos inconvenientes aguarda una respuesta lo mas urgente posible.;retiro escombro resto obra;Retiro de escombros / restos de obra;00158375/23
3 palo madera medir 4 metro 2 metro;3 palos de madera miden como 4 metros uno  y los otros 2 metros.;retiro escombro resto obra;Retiro de escombros / restos de obra;00008748/23
vecino solicitar retiro mueble pallet madera;vecino solicita el retiro de un mueble y pallet de madera;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00053887/23
bloquear entrada garage;bloquea la entrada al garage;vehículo mal estacionado;Vehículo mal estacionado;00132215/23
;;vehículo mal estacionado;Vehículo mal estacionado;00124708/23
rama producto poda;Ramas producto de una poda;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00241461/23
indicar hidrolavadora motor generar mucho vibración vecino edificio contiguo inconveniente dos depósito;Se indica que las hidrolavadoras y motores generan muchas vibraciones. Los vecinos del edificio contiguo tienen mucho inconvenientes con los dos depósitos.;ruido molesto vibración;Ruidos molestos y vibraciones;00169985/23
vecina indicar ubicación encontrar reparación PH ninguno tipo seguridad persona remodelar PH tirar escombro primero piso aser calle solo sino escombro casi golpear vecina lugar junto ocurrir tipo accidente;La vecina indica que en esta ubicación se encuentra en reparación un PH el cual no tiene ningún tipo de seguridad ya que las personas que están remodelando el PH tiran los escombros desde el primer piso asía la calle y no solo esto sino que también uno de los escombros casi golpea a una vecina del lugar y junto con este ocurrieron otro tipo de accidentes;obra construcción protección falta seguridad edificio lindero vía público;Obra en construcción sin protección o falta de seguridad a edificios linderos y/o vía pública;00114411/23
solicitar favor reubicación contenedor debido dirección ir contenedor a ev acoyte 583 pintado forma;Solicita por favor la reubicación del contenedor debido a que la dirección donde va el contenedor es Av acoyte 583 y esta pintado para que sea de esa forma.;queja Contenedores basura;Queja por Contenedores de basura;00184822/23
vecina comentar correr contenedor afuera garage poder sacar vehículo;la vecina comenta que corrieron los contenedores afuera de su garage y no puede sacar su vehículo;queja Contenedores basura;Queja por Contenedores de basura;00178272/23
__image __;__image__;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00345334/23
poda arbol;Poda de arbol;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00149153/23
metroga trabajar sabado 18 marzo 2023 presentar hacer vereda mal colocado baldosas;estuvo metrogas trabajando y el sabado 18 de marzo del 2023 se presentaron a hacer la vereda. Están mal colocadas las baldosas.;reparación veredo;Reparación de vereda;00186845/23
hacer 10 año poder árbol Pasaje Enrique Santos Discépolo ... dar edificio 1862 escuela Normal 9 ... cita lado edificio ... salida trasero . .. ir vicio rama fino cada tormenta fuerte ... caer calle .. incluso salir niño escuela . ... reclamado hecho caso omiso .. quebrar fácilmente fino .. pasaje angosto ir edificio edificio enfrente . . vinir grúa hacer varios mes Edesur tapar calle arreglo venir nunca ir tener hacer responsable si lastimar alguien niño escuela Av.Callao 450 puerta principal salir primario salida lateral pasaje favor hacer él cargo ... llevar año quejar yo mismo llamar noticiero venir esperar niño accidentado Gracias;Hace más de 10 años que no se podan los árboles del Pasaje Enrique Santos Discépolo...sobre todo los que dan a mi edificio del 1862 y a la escuela Normal 9...cita al lado de mi edificio...la salida trasera... Se han ido en vicio con ramas finas que en cada tormenta fuerte ...caen a la calle..incluso cuando salen los niños de la escuela....(la cual ya ha reclamado y le han hecho caso omiso..!!!!!! Se quiebran fácilmente por los finas..y el pasaje es angosto por lo que van de edificio a edificio de enfrente.. Vinieron con una grúa hace varios meses pero Edesur tapaba la calle por un arreglo y se fueron para no venir nunca más !!! Se van a tener que hacer responsables si se lastima alguien sobre todo un niño!!!!! La escuela es en Av.Callao 450 su puerta principal pero sale la primaria por la salida lateral del pasaje!! Por favor háganse cargo...llevo años quejándome de lo mismo!!!!! Habrá que llamar a un noticiero para que vengan????o esperan un niño accidentado????? Gracias!!!;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00017942/23
vecina solicitar retiro 15 bolsa escombro;La vecina solicita el retiro de 15 bolsas de escombros;retiro escombro resto obra;Retiro de escombros / restos de obra;00154356/23
estimado vecina solicitar alumbrado cuadra comentar LUZ JUNTA jovenes fumar oscuridad;ESTIMADOS: LA VECINA SOLICITA ALUMBRADO EN LA CUADRA, COMENTA QUE NO HAY NADA DE LUZ Y SE JUNTA MUCHOS JOVENES  A FUMAR EN LA OSCURIDAD.;Mayor iluminación calle plaza;Mayor iluminación en calle / plaza;00322577/23
solicitar lavado pared hidro lavadora tener cuidado parte suelto parte salir especificado foto adjunto;Se solicita lavado de pared con hidro lavadora , (Tener cuidado con una parte suelta de la parte  ,en la cual sale especificada en una  foto adjunto);hidrolavado grafitis pegatina;Hidrolavado por grafitis/pegatinas;00075880/23
salir tapa contenedor suelo pedal tampoco funcionar bien haber abrir tapa mano;se salio la tapa del contenedor y está en el suelo, el pedal tampoco funcionaba bien y habia que abrir la tapa con  la mano;queja Contenedores basura;Queja por Contenedores de basura;00055553/23
vecino dejar residuo poder esquina calle;un vecino dejo residuos de poda en esquina, sobre calle;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00264497/23
negar recibir bicicleta;Se negaron a recibir la bicicleta.;incumplimiento derecho consumidor;Incumplimientos a los derechos del consumidor;00339829/23
vecina indicar hacer día cuadra poner cartel prohibido estacionar Comenta hacer 20 año residir lugar nunca además cuadra anterior posterior domicilio cartel sino contrario cartel permitido estacionamiento favor solicitar verificar quitar considerar corresponder Gracias;Vecina indica que hace unos días en su cuadra pusieron un cartel de prohibido estacionar. Comenta que hace 20 años que reside en el lugar y nunca lo tuvo, además en la cuadra anterior y posterior a su domicilio el cartel no está, sino por el contrario hay un cartel de que está permitido el estacionamiento.  Por favor  solicita que esto se verifique y se quite ya que considera no corresponde. Gracias.;propuesta mejorar trámite;Propuestas para la mejora en trámites;00105890/23
helaera funcionar;helaera que no funciona;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00017948/23
auto estacionado garage depósito imposibilitar movimiento mercadería;Auto estacionado en el garage de un depósito imposibilitando el movimiento de mercadería;vehículo mal estacionado;Vehículo mal estacionado;00107300/23
pasar;Paso;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00213173/23
rama poder vereda;Ramas de poda en la vereda;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00015554/23
retiro poda;Retiro de poda;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00075983/23
pisar pedal abrir bien tapa;Al pisar el pedal no abre bien la tapa;queja Contenedores basura;Queja por Contenedores de basura;00103195/23
parada colectivo;sobre parada de colectivo;vehículo mal estacionado;Vehículo mal estacionado;00124626/23
refacción piso;Refacción de un piso;retiro escombro resto obra;Retiro de escombros / restos de obra;00021815/23
finalizar;Finalizar;retiro escombro resto obra;Retiro de escombros / restos de obra;00047877/23
solicitar retiro escombro demolición mampostería próximo caer él servicio emergencia 103;Solicito el retiro de escombros por la demolición de mampostería próxima a caerse por el servicio de emergencia 103;retiro escombro resto obra;Retiro de escombros / restos de obra;00243802/23
solicitar urgencia arreglo vereda pozo producir empresa agua noticia hacer tiempo;solicita con urgencia el arreglo de su vereda , ya que tiene un pozo el cual se lo produjo la empresa de agua y no tiene noticias hace tiempo;reparación veredo;Reparación de vereda;00355336/23
vehículo mal estacionado interrumpir parcialmente acceso garage edificio;Vehículo mal estacionado interrumpiendo parcialmente el acceso a garage de edificio;vehículo mal estacionado;Vehículo mal estacionado;00136423/23
vehículo mal estacionado hacer 10 día obstruir ingreso garage edificio aparente abandono;Hay un vehículo mal estacionado desde hace más de 10 días que obstruye el ingreso a garage de edificio en aparente estado de abandono;vehículo mal estacionado;Vehículo mal estacionado;00149049/23
vehículo mal estacionado obstruir parte acceso cochero edificio abandono;Vehículo mal estacionado, obstruyendo parte del acceso a cocheras de edificio y en estado de abandono;vehículo mal estacionado;Vehículo mal estacionado;00143475/23
finalizar;Finalizar;retiro escombro resto obra;Retiro de escombros / restos de obra;00328155/23
vehículo abandonado hacer mes;Vehículo abandonado hace meses.;remoción vehículo abandonado;Remoción de vehículo abandonado;00057764/23
debido arreglo esquina A ev Belgrano Alberti colocar tapa hacer ruido constantemente pasar vehiculo mismo interrumpar descanso vecino;Debido a un arreglo en la esquina de Av Belgrano y Alberti se coloco una tapa que hace ruido constantemente porque pasan vehiculos sobre la misma. Interrumpe el descanso de los vecinos.;reparación veredo;Reparación de vereda;00347004/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00161430/23
vecino solicitar retiro 15 bolsa escombro dejar lado columna comentar realizar solicitud pasar retirar él solicitar pasar buscar él posible;vecino solicita el retiro de 15 bolsas de escombros que dejo al lado de una columna. comenta que realizo esta solicitud y no pasaron a retirarlos. solicita que pasen a buscarlos lo antes posible.;retiro escombro resto obra;Retiro de escombros / restos de obra;00178495/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00195513/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00286087/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00270687/23
retiro escombro resto obra;Retiro de escombros / restos de obra;retiro escombro resto obra;Retiro de escombros / restos de obra;00224331/23
ruido casi permanente circulación agua bombeo agua pileto pulmón manzana quiebra silencio habitual zona;Ruidos casi permanentes de circulación de agua, como bombeo de agua en una pileta, sobre pulmón de manzana. Quiebra el silencio habitual en la zona.;ruido molesto vibración;Ruidos molestos y vibraciones;00317971/23
barrido deficiente todo cuadra Nicasio Oroño 1300;Barrido deficiente en toda la cuadra de Nicasio Oroño 1300.;mejora barrer;Mejora de barrido;00343244/23
moto estacionado via público obstruir puerta medidor gas;Moto estacionada sobre via pública obstruyendo puerta de medidor de gas;vehículo mal estacionado;Vehículo mal estacionado;00071465/23
vehículo mal estacionado obstruir garage domiciliario;Vehículo mal estacionado obstruyendo garage domiciliario;vehículo mal estacionado;Vehículo mal estacionado;00158524/23
así hacer 15 día faltar rueda puerta abierto saber;Está así hace más de 15 días, le falta una rueda, tiene las puertas abiertas. No se sabe de quien es.;remoción vehículo abandonado;Remoción de vehículo abandonado;00109165/23
poner todo basura cuadra puerta;ponen toda la basura de mi cuadra en mi puerta;retiro escombro resto obra;Retiro de escombros / restos de obra;00116009/23
terminar nunca arreglo ... juego chico poder usar hacer;No terminan nunca los arreglos...los juegos de los chicos no se pueden usar hace mucho.;mantenimiento parque plaza;Mantenimiento de parque / plaza;00312448/23
vehículo mal estacionado entrada garaje mismo encontrar ocupante permitir salir auto;Vehículo mal estacionado en la entrada de mi garaje. El mismo se encuentra sin ocupante. No me permite salir con mi auto.;vehículo mal estacionado;Vehículo mal estacionado;00141940/23
vehículo mal estacionado entrada garage impedir yo ingreso mismo;Vehículo mal estacionado en la entrada de mi garage, impidiéndome el ingreso del mismo.;vehículo mal estacionado;Vehículo mal estacionado;00351578/23
;;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00019530/23
farod resto poda hojar ramo;FARODS CON RESTOS DE PODA, HOJAS, RAMAS;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00218895/23
Have faltar luz todo cuadra oscuro peligroso;Have falta más luz en toda la cuadra. Es oscura y peligrosa;Mayor iluminación calle plaza;Mayor iluminación en calle / plaza;00256776/23
faltar arbol;Falta arbol;plantación árbol;Plantación de árbol;00256093/23
faltar arbol;Falta arbol;plantación árbol;Plantación de árbol;00256097/23
vehiculo mal estacionado garage;Hay un vehiculo mal estacionado en mi garage;vehículo mal estacionado;Vehículo mal estacionado;00195778/23
tapar garage;Me esta tapando el garage;vehículo mal estacionado;Vehículo mal estacionado;00149667/23
tapar garage;Me esta tapando el garage;vehículo mal estacionado;Vehículo mal estacionado;00175911/23
andar calesita;No anda la calesita;mantenimiento patio juego parque plaza;Mantenimiento de patio de juegos en parque/plaza;00136593/23
Hamaca romper siempre;Hamaca rotas!!! Siempre;mantenimiento patio juego parque plaza;Mantenimiento de patio de juegos en parque/plaza;00117867/23
renovación anual equipo medicion ruido;RENOVACION ANUAL EQUIPOS DE MEDICION RUIDOS;consulta expediente Agencia Protección Ambiental;Consulta de estado de expediente ante la Agencia de Protección Ambiental;00308051/23
retiro escombro;RETIRO DE ESCOMBROS;retiro escombro resto obra;Retiro de escombros / restos de obra;00335830/23
vereda sucio diario escremento animal basura contenedor;Veredas sucias a diario, escremento de animales y basura fuera de contenedores;queja Contenedores basura;Queja por Contenedores de basura;00122379/23
retiro residuo obra;Retiro de residuos de obra;retiro escombro resto obra;Retiro de escombros / restos de obra;00069795/23
;;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00196832/23
luminaria intermedia suspender encender;Luminaria intermedia o suspendía no enciende;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00033465/23
vecino solicitar vallar retirar basura contendor q hacer 10 dia pasar comentar vecino correr contendor poner puerta verde;El vecino solicita que vallan a retirar la basura del contendor ya q hace 10 dias no pasan, también comenta que los vecinos corrieron el contendor y se lo pusieron en su puerta cuando el ya tiene uno verde.;queja Contenedores basura;Queja por Contenedores de basura;00111458/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00024186/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00012657/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00030441/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00031395/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00024189/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00027726/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00029218/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00024112/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00031521/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00108775/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00128650/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00140280/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00135437/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00144256/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00160960/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00186310/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00182645/23
retiro tanque agua;Retiro de tanque de agua;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00213005/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00217955/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00279484/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00305025/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00361880/23
